time,target
2010-06-03 12:00:00,1.2187000000000001
2010-06-04 00:00:00,1.19671
2010-06-04 12:00:00,1.19766
2010-06-07 00:00:00,1.19166
2010-06-07 12:00:00,1.19102
2010-06-08 00:00:00,1.1964
2010-06-08 12:00:00,1.1969400000000001
2010-06-09 00:00:00,1.1984
2010-06-09 12:00:00,1.2069
2010-06-10 00:00:00,1.21081
2010-06-10 12:00:00,1.21285
2010-06-11 00:00:00,1.21112
2010-06-11 12:00:00,1.22498
2010-06-14 00:00:00,1.2213
2010-06-14 12:00:00,1.2245
2010-06-15 00:00:00,1.23228
2010-06-15 12:00:00,1.23015
2010-06-16 00:00:00,1.22989
2010-06-16 12:00:00,1.23849
2010-06-17 00:00:00,1.23794
2010-06-17 12:00:00,1.23782
2010-06-18 00:00:00,1.23875
2010-06-18 12:00:00,1.23923
2010-06-21 00:00:00,1.23232
2010-06-21 12:00:00,1.22705
2010-06-22 00:00:00,1.22674
2010-06-22 12:00:00,1.22805
2010-06-23 00:00:00,1.23102
2010-06-23 12:00:00,1.22807
2010-06-24 00:00:00,1.23276
2010-06-24 12:00:00,1.22675
2010-06-25 00:00:00,1.23681
2010-06-25 12:00:00,1.23594
2010-06-28 00:00:00,1.22803
2010-06-28 12:00:00,1.2193
2010-06-29 00:00:00,1.21886
2010-06-29 12:00:00,1.22776
2010-06-30 00:00:00,1.22302
2010-06-30 12:00:00,1.22918
2010-07-01 00:00:00,1.25163
2010-07-01 12:00:00,1.25171
2010-07-02 00:00:00,1.25655
2010-07-02 12:00:00,1.2527300000000001
2010-07-05 00:00:00,1.2538
2010-07-05 12:00:00,1.2587
2010-07-06 00:00:00,1.26261
2010-07-06 12:00:00,1.25634
2010-07-07 00:00:00,1.26316
2010-07-07 12:00:00,1.26623
2010-07-08 00:00:00,1.26931
2010-07-08 12:00:00,1.26708
2010-07-09 00:00:00,1.26404
2010-07-09 12:00:00,1.25668
2010-07-12 00:00:00,1.25887
2010-07-12 12:00:00,1.2589299999999999
2010-07-13 00:00:00,1.27265
2010-07-13 12:00:00,1.27053
2010-07-14 00:00:00,1.27414
2010-07-14 12:00:00,1.27925
2010-07-15 00:00:00,1.2931
2010-07-15 12:00:00,1.29776
2010-07-16 00:00:00,1.2929599999999999
2010-07-16 12:00:00,1.29607
2010-07-19 00:00:00,1.2947199999999999
2010-07-19 12:00:00,1.29393
2010-07-20 00:00:00,1.28911
2010-07-20 12:00:00,1.28264
2010-07-21 00:00:00,1.27528
2010-07-21 12:00:00,1.2828300000000001
2010-07-22 00:00:00,1.28865
2010-07-22 12:00:00,1.29397
2010-07-23 00:00:00,1.29086
2010-07-23 12:00:00,1.2905
2010-07-26 00:00:00,1.29865
2010-07-26 12:00:00,1.29852
2010-07-27 00:00:00,1.3000099999999999
2010-07-27 12:00:00,1.30056
2010-07-28 00:00:00,1.29868
2010-07-28 12:00:00,1.3078
2010-07-29 00:00:00,1.30795
2010-07-29 12:00:00,1.29866
2010-07-30 00:00:00,1.30504
2010-07-30 12:00:00,1.30677
2010-08-02 00:00:00,1.31753
2010-08-02 12:00:00,1.3246
2010-08-03 00:00:00,1.3226
2010-08-03 12:00:00,1.31974
2010-08-04 00:00:00,1.31538
2010-08-04 12:00:00,1.32108
2010-08-05 00:00:00,1.31841
2010-08-05 12:00:00,1.31844
2010-08-06 00:00:00,1.32781
2010-08-06 12:00:00,1.3281100000000001
2010-08-09 00:00:00,1.32242
2010-08-09 12:00:00,1.31578
2010-08-10 00:00:00,1.31745
2010-08-10 12:00:00,1.3024499999999999
2010-08-11 00:00:00,1.28447
2010-08-11 12:00:00,1.2812999999999999
2010-08-12 00:00:00,1.28269
2010-08-12 12:00:00,1.2824499999999999
2010-08-13 00:00:00,1.27531
2010-08-13 12:00:00,1.2808
2010-08-16 00:00:00,1.28219
2010-08-16 12:00:00,1.28787
2010-08-17 00:00:00,1.28787
2010-08-17 12:00:00,1.2903
2010-08-18 00:00:00,1.28518
2010-08-18 12:00:00,1.28172
2010-08-19 00:00:00,1.28152
2010-08-19 12:00:00,1.27182
2010-08-20 00:00:00,1.27105
2010-08-20 12:00:00,1.2701
2010-08-23 00:00:00,1.26461
2010-08-23 12:00:00,1.26054
2010-08-24 00:00:00,1.26307
2010-08-24 12:00:00,1.26553
2010-08-25 00:00:00,1.2663
2010-08-25 12:00:00,1.27103
2010-08-26 00:00:00,1.27161
2010-08-26 12:00:00,1.27154
2010-08-27 00:00:00,1.27617
2010-08-27 12:00:00,1.27182
2010-08-30 00:00:00,1.26631
2010-08-30 12:00:00,1.26928
2010-08-31 00:00:00,1.26889
2010-08-31 12:00:00,1.27884
2010-09-01 00:00:00,1.28026
2010-09-01 12:00:00,1.28346
2010-09-02 00:00:00,1.28251
2010-09-02 12:00:00,1.28412
2010-09-03 00:00:00,1.28951
2010-09-03 12:00:00,1.2889599999999999
2010-09-06 00:00:00,1.2875
2010-09-06 12:00:00,1.27556
2010-09-07 00:00:00,1.26821
2010-09-07 12:00:00,1.2681499999999999
2010-09-08 00:00:00,1.27234
2010-09-08 12:00:00,1.27153
2010-09-09 00:00:00,1.2697
2010-09-09 12:00:00,1.2717
2010-09-10 00:00:00,1.26784
2010-09-10 12:00:00,1.2802
2010-09-13 00:00:00,1.2877100000000001
2010-09-13 12:00:00,1.2837
2010-09-14 00:00:00,1.29866
2010-09-14 12:00:00,1.2977400000000001
2010-09-15 00:00:00,1.30118
2010-09-15 12:00:00,1.30815
2010-09-16 00:00:00,1.30731
2010-09-16 12:00:00,1.31317
2010-09-17 00:00:00,1.30487
2010-09-17 12:00:00,1.30937
2010-09-20 00:00:00,1.30621
2010-09-20 12:00:00,1.31388
2010-09-21 00:00:00,1.32498
2010-09-21 12:00:00,1.3373
2010-09-22 00:00:00,1.33991
2010-09-22 12:00:00,1.33415
2010-09-23 00:00:00,1.33133
2010-09-23 12:00:00,1.34233
2010-09-24 00:00:00,1.3491900000000001
2010-09-24 12:00:00,1.3458999999999999
2010-09-27 00:00:00,1.34408
2010-09-27 12:00:00,1.34781
2010-09-28 00:00:00,1.35843
2010-09-28 12:00:00,1.35941
2010-09-29 00:00:00,1.36212
2010-09-29 12:00:00,1.36618
2010-09-30 00:00:00,1.36283
2010-09-30 12:00:00,1.37386
2010-10-01 00:00:00,1.379
2010-10-01 12:00:00,1.3684
2010-10-04 00:00:00,1.36741
2010-10-04 12:00:00,1.37758
2010-10-05 00:00:00,1.38338
2010-10-05 12:00:00,1.38659
2010-10-06 00:00:00,1.3925100000000001
2010-10-06 12:00:00,1.3967399999999999
2010-10-07 00:00:00,1.39136
2010-10-07 12:00:00,1.39081
2010-10-08 00:00:00,1.3928
2010-10-08 12:00:00,1.3941
2010-10-11 00:00:00,1.38812
2010-10-11 12:00:00,1.38184
2010-10-12 00:00:00,1.3915
2010-10-12 12:00:00,1.39856
2010-10-13 00:00:00,1.39593
2010-10-13 12:00:00,1.40781
2010-10-14 00:00:00,1.40799
2010-10-14 12:00:00,1.4093
2010-10-15 00:00:00,1.3976199999999999
2010-10-15 12:00:00,1.38986
2010-10-18 00:00:00,1.39483
2010-10-18 12:00:00,1.39322
2010-10-19 00:00:00,1.37411
2010-10-19 12:00:00,1.38473
2010-10-20 00:00:00,1.3957899999999999
2010-10-20 12:00:00,1.40063
2010-10-21 00:00:00,1.39248
2010-10-21 12:00:00,1.39094
2010-10-22 00:00:00,1.39528
2010-10-22 12:00:00,1.40504
2010-10-25 00:00:00,1.39535
2010-10-25 12:00:00,1.39431
2010-10-26 00:00:00,1.38621
2010-10-26 12:00:00,1.3826
2010-10-27 00:00:00,1.3773900000000001
2010-10-27 12:00:00,1.3836300000000001
2010-10-28 00:00:00,1.39282
2010-10-28 12:00:00,1.38102
2010-10-29 00:00:00,1.39459
2010-10-29 12:00:00,1.39661
2010-11-01 00:00:00,1.38977
2010-11-01 12:00:00,1.39658
2010-11-02 00:00:00,1.40312
2010-11-02 12:00:00,1.40515
2010-11-03 00:00:00,1.41248
2010-11-03 12:00:00,1.42258
2010-11-04 00:00:00,1.4212500000000001
2010-11-04 12:00:00,1.4102700000000001
2010-11-05 00:00:00,1.40314
2010-11-05 12:00:00,1.3902
2010-11-08 00:00:00,1.39123
2010-11-08 12:00:00,1.39252
2010-11-09 00:00:00,1.37633
2010-11-09 12:00:00,1.37533
2010-11-10 00:00:00,1.37791
2010-11-10 12:00:00,1.37588
2010-11-11 00:00:00,1.36611
2010-11-11 12:00:00,1.37192
2010-11-12 00:00:00,1.369
2010-11-12 12:00:00,1.36136
2010-11-15 00:00:00,1.35789
2010-11-15 12:00:00,1.3596
2010-11-16 00:00:00,1.34821
2010-11-16 12:00:00,1.3507500000000001
2010-11-17 00:00:00,1.35294
2010-11-17 12:00:00,1.3633899999999999
2010-11-18 00:00:00,1.3642699999999999
2010-11-18 12:00:00,1.37199
2010-11-19 00:00:00,1.36718
2010-11-19 12:00:00,1.37416
2010-11-22 00:00:00,1.36236
2010-11-22 12:00:00,1.35831
2010-11-23 00:00:00,1.33802
2010-11-23 12:00:00,1.33237
2010-11-24 00:00:00,1.33364
2010-11-24 12:00:00,1.33115
2010-11-25 00:00:00,1.33443
2010-11-25 12:00:00,1.32375
2010-11-26 00:00:00,1.32402
2010-11-26 12:00:00,1.31967
2010-11-29 00:00:00,1.31061
2010-11-29 12:00:00,1.30332
2010-11-30 00:00:00,1.2981099999999999
2010-11-30 12:00:00,1.3114
2010-12-01 00:00:00,1.31254
2010-12-01 12:00:00,1.31816
2010-12-02 00:00:00,1.32149
2010-12-02 12:00:00,1.32609
2010-12-03 00:00:00,1.3413599999999999
2010-12-03 12:00:00,1.3251
2010-12-06 00:00:00,1.33088
2010-12-06 12:00:00,1.33605
2010-12-07 00:00:00,1.32652
2010-12-07 12:00:00,1.3245
2010-12-08 00:00:00,1.32627
2010-12-08 12:00:00,1.32206
2010-12-09 00:00:00,1.32365
2010-12-09 12:00:00,1.32469
2010-12-10 00:00:00,1.3226200000000001
2010-12-10 12:00:00,1.32226
2010-12-13 00:00:00,1.33864
2010-12-13 12:00:00,1.34925
2010-12-14 00:00:00,1.33789
2010-12-14 12:00:00,1.33027
2010-12-15 00:00:00,1.32203
2010-12-15 12:00:00,1.3229
2010-12-16 00:00:00,1.32396
2010-12-16 12:00:00,1.33091
2010-12-17 00:00:00,1.31873
2010-12-17 12:00:00,1.31668
2010-12-20 00:00:00,1.31197
2010-12-20 12:00:00,1.31539
2010-12-21 00:00:00,1.30993
2010-12-21 12:00:00,1.3138
2010-12-22 00:00:00,1.3103099999999999
2010-12-22 12:00:00,1.30929
2010-12-23 00:00:00,1.3109899999999999
2010-12-23 12:00:00,1.31137
2010-12-24 00:00:00,1.31209
2010-12-24 12:00:00,1.31617
2010-12-27 00:00:00,1.3162099999999999
2010-12-27 12:00:00,1.32466
2010-12-28 00:00:00,1.31091
2010-12-28 12:00:00,1.31171
2010-12-29 00:00:00,1.32173
2010-12-29 12:00:00,1.3246
2010-12-30 00:00:00,1.32901
2010-12-30 12:00:00,1.33696
2010-12-31 00:00:00,1.33827
2010-12-31 12:00:00,1.332
2011-01-03 00:00:00,1.33499
2011-01-03 12:00:00,1.34008
2011-01-04 00:00:00,1.33104
2011-01-04 12:00:00,1.32339
2011-01-05 00:00:00,1.31485
2011-01-05 12:00:00,1.3103
2011-01-06 00:00:00,1.30022
2011-01-06 12:00:00,1.29804
2011-01-07 00:00:00,1.29055
2011-01-07 12:00:00,1.29105
2011-01-10 00:00:00,1.29451
2011-01-10 12:00:00,1.2928600000000001
2011-01-11 00:00:00,1.29731
2011-01-11 12:00:00,1.2983
2011-01-12 00:00:00,1.3128
2011-01-12 12:00:00,1.3129
2011-01-13 00:00:00,1.33477
2011-01-13 12:00:00,1.3376000000000001
2011-01-14 00:00:00,1.33875
2011-01-14 12:00:00,1.32883
2011-01-17 00:00:00,1.32758
2011-01-17 12:00:00,1.3389
2011-01-18 00:00:00,1.3385099999999999
2011-01-18 12:00:00,1.34665
2011-01-19 00:00:00,1.34557
2011-01-19 12:00:00,1.34923
2011-01-20 00:00:00,1.34638
2011-01-20 12:00:00,1.35283
2011-01-21 00:00:00,1.36196
2011-01-21 12:00:00,1.35747
2011-01-24 00:00:00,1.36401
2011-01-24 12:00:00,1.35919
2011-01-25 00:00:00,1.36801
2011-01-25 12:00:00,1.36927
2011-01-26 00:00:00,1.3697599999999999
2011-01-26 12:00:00,1.37399
2011-01-27 00:00:00,1.3727800000000001
2011-01-27 12:00:00,1.37162
2011-01-28 00:00:00,1.36102
2011-01-28 12:00:00,1.36426
2011-01-31 00:00:00,1.36908
2011-01-31 12:00:00,1.37538
2011-02-01 00:00:00,1.38238
2011-02-01 12:00:00,1.38311
2011-02-02 00:00:00,1.38045
2011-02-02 12:00:00,1.37771
2011-02-03 00:00:00,1.3625099999999999
2011-02-03 12:00:00,1.3625
2011-02-04 00:00:00,1.358
2011-02-04 12:00:00,1.3573
2011-02-07 00:00:00,1.35774
2011-02-07 12:00:00,1.36505
2011-02-08 00:00:00,1.36277
2011-02-08 12:00:00,1.36163
2011-02-09 00:00:00,1.37237
2011-02-09 12:00:00,1.3639000000000001
2011-02-10 00:00:00,1.3593600000000001
2011-02-10 12:00:00,1.3518
2011-02-11 00:00:00,1.35513
2011-02-11 12:00:00,1.3465099999999999
2011-02-14 00:00:00,1.34885
2011-02-14 12:00:00,1.35269
2011-02-15 00:00:00,1.34851
2011-02-15 12:00:00,1.35232
2011-02-16 00:00:00,1.35601
2011-02-16 12:00:00,1.35697
2011-02-17 00:00:00,1.36051
2011-02-17 12:00:00,1.3561
2011-02-18 00:00:00,1.36923
2011-02-18 12:00:00,1.3689
2011-02-21 00:00:00,1.36746
2011-02-21 12:00:00,1.3639000000000001
2011-02-22 00:00:00,1.3654
2011-02-22 12:00:00,1.37145
2011-02-23 00:00:00,1.37491
2011-02-23 12:00:00,1.37832
2011-02-24 00:00:00,1.3801700000000001
2011-02-24 12:00:00,1.37791
2011-02-25 00:00:00,1.37523
2011-02-25 12:00:00,1.38297
2011-02-28 00:00:00,1.3808799999999999
2011-02-28 12:00:00,1.38431
2011-03-01 00:00:00,1.3775
2011-03-01 12:00:00,1.38334
2011-03-02 00:00:00,1.38633
2011-03-02 12:00:00,1.38629
2011-03-03 00:00:00,1.39596
2011-03-03 12:00:00,1.39638
2011-03-04 00:00:00,1.39863
2011-03-04 12:00:00,1.40222
2011-03-07 00:00:00,1.39682
2011-03-07 12:00:00,1.39246
