close,close%,mm7,mm14,mm21,mm200,target
1.20996,0.9999917353322809,1.210537142857143,1.211562142857143,1.2115109523809524,1.21344705,1.21055
1.21055,1.0004876194254357,1.2103171428571429,1.2114471428571427,1.2114957142857143,1.21346165,1.21044
1.21044,0.9999091322126306,1.2102728571428572,1.2112992857142857,1.211475238095238,1.2134749999999999,1.21171
1.21171,1.0010492052476787,1.2103985714285714,1.2111742857142858,1.2115466666666665,1.21349035,1.21164
1.21164,0.9999422304016637,1.2105714285714286,1.2110664285714285,1.2116290476190477,1.21350195,1.21343
1.21343,1.0014773365025915,1.2111,1.2111249999999998,1.2116566666666668,1.2135219,1.21269
1.21269,0.9993901584763851,1.2114885714285715,1.2111671428571429,1.2116442857142855,1.2135369,1.21337
1.21337,1.0005607368742218,1.2119757142857144,1.2112564285714285,1.2117,1.2135561,1.21461
1.21461,1.00102194713896,1.2125557142857144,1.2114364285714285,1.2118166666666668,1.2135807,1.21468
1.21468,1.000057631667778,1.2131614285714285,1.211717142857143,1.21192,1.21360515,1.21491
1.21491,1.0001893502815555,1.2136185714285712,1.2120085714285713,1.2119890476190476,1.2136276000000001,1.21351
1.21351,0.9988476512663491,1.2138857142857145,1.2122285714285714,1.2120061904761905,1.21364045,1.21323
1.21323,0.9997692643653533,1.2138571428571427,1.2124785714285713,1.2120357142857143,1.21364745,1.21298
1.21298,0.9997939384947618,1.2138985714285713,1.2126935714285716,1.2120776190476188,1.2136482,1.21304
1.21304,1.00004946495408,1.2138514285714286,1.2129135714285713,1.2121214285714286,1.2136498,1.21347
1.21347,1.0003544813031724,1.2136885714285714,1.2131221428571428,1.2121871428571427,1.2136542,1.21353
1.21353,1.0000494449800983,1.2135242857142856,1.213342857142857,1.212319523809524,1.2136539,1.21272
1.21272,0.9993325257719216,1.2132114285714286,1.213415,1.2124095238095238,1.21365435,1.21227
1.21227,0.9996289333069464,1.2130342857142857,1.21346,1.2124971428571427,1.2136516,1.2129699999999999
1.2129699999999999,1.0005774291205753,1.2129971428571429,1.2134271428571428,1.2126514285714285,1.2136540500000002,1.21272
1.21272,0.9997938943254987,1.21296,1.2134292857142857,1.212782380952381,1.2136570500000001,1.21271
