close,close%,mm7,mm14,mm21,mm200
1.20996,1.0000082647360244,1.210537142857143,1.211562142857143,1.2115109523809524,1.21344705
1.21055,0.9995126182313824,1.2103171428571429,1.2114471428571427,1.2114957142857143,1.21346165
1.21044,1.0000908760450746,1.2102728571428572,1.2112992857142857,1.211475238095238,1.2134749999999999
1.21171,0.9989518944301854,1.2103985714285714,1.2111742857142858,1.2115466666666665,1.21349035
1.21164,1.0000577729358555,1.2105714285714286,1.2110664285714285,1.2116290476190477,1.21350195
1.21343,0.9985248428009856,1.2111,1.2111249999999998,1.2116566666666668,1.2135219
1.21269,1.0006102136572412,1.2114885714285715,1.2111671428571429,1.2116442857142855,1.2135369
1.21337,0.999439577375409,1.2119757142857144,1.2112564285714285,1.2117,1.2135561
1.21461,0.9989790961707874,1.2125557142857144,1.2114364285714285,1.2118166666666668,1.2135807
1.21468,0.9999423716534396,1.2131614285714285,1.211717142857143,1.21192,1.21360515
1.21491,0.9998106855651859,1.2136185714285712,1.2120085714285713,1.2119890476190476,1.2136276000000001
1.21351,1.0011536781732329,1.2138857142857145,1.2122285714285714,1.2120061904761905,1.21364045
1.21323,1.0002307888858668,1.2138571428571427,1.2124785714285713,1.2120357142857143,1.21364745
1.21298,1.0002061039753336,1.2138985714285713,1.2126935714285716,1.2120776190476188,1.2136482
1.21304,0.9999505374925807,1.2138514285714286,1.2129135714285713,1.2121214285714286,1.2136498
1.21347,0.9996456443092947,1.2136885714285714,1.2131221428571428,1.2121871428571427,1.2136542
1.21353,0.9999505574645868,1.2135242857142856,1.213342857142857,1.212319523809524,1.2136539
1.21272,1.0006679200474966,1.2132114285714286,1.213415,1.2124095238095238,1.21365435
1.21227,1.0003712044346558,1.2130342857142857,1.21346,1.2124971428571427,1.2136516
1.2129699999999999,0.999422904111396,1.2129971428571429,1.2134271428571428,1.2126514285714285,1.2136540500000002
1.21272,1.0002061481628075,1.21296,1.2134292857142857,1.212782380952381,1.2136570500000001
1.21271,1.0000082459945083,1.2129128571428571,1.2133821428571427,1.2129133333333333,1.2136597500000001
1.2129699999999999,0.9997856500985186,1.2128414285714284,1.213265,1.2130285714285716,1.21366195
1.21278,1.0001566648526525,1.2127342857142855,1.2131292857142857,1.21314,1.2136624
1.21301,0.9998103890322422,1.212775714285714,1.2129935714285713,1.213201904761905,1.21366325
1.21292,1.000074201101474,1.2128685714285712,1.2129514285714287,1.2132628571428572,1.2136639
1.21285,1.0000577152986767,1.2128514285714285,1.2129242857142857,1.213235238095238,1.21365845
1.2089,1.0032674332037388,1.2123057142857143,1.212632857142857,1.213054761904762,1.21363185
1.2094,0.9995865718538118,1.2118328571428572,1.2123728571428571,1.2128657142857142,1.21360835
1.20797,1.0011838042335488,1.2111185714285715,1.21198,1.2125495238095236,1.2135764500000001
1.20817,0.999834460382231,1.2104599999999999,1.2115971428571428,1.2122395238095238,1.2135451000000002
1.20756,1.0005051508827718,1.2096814285714286,1.2112285714285715,1.2118895238095237,1.21351275
1.20848,0.9992387130941347,1.2090471428571428,1.210957857142857,1.21165,1.2134831
1.20869,0.999826258180344,1.2084528571428572,1.2106521428571428,1.2114338095238095,1.21345215
1.20846,1.000190324876289,1.20839,1.2103478571428572,1.2112185714285715,1.21341665
1.20686,1.0013257544371343,1.2080271428571427,1.20993,1.2109242857142857,1.21338335
1.20697,0.9999088626892134,1.2078842857142857,1.2095014285714285,1.210614761904762,1.21335445
1.2067700000000001,1.000165731663863,1.207684285714286,1.2090721428571427,1.210292857142857,1.2133276499999999
1.20665,1.0000994488874158,1.2075542857142858,1.208617857142857,1.2100038095238095,1.2133048
1.20567,1.0008128260635165,1.2071528571428571,1.2081,1.209689523809524,1.21328395
1.20594,0.9997761082640928,1.2067599999999998,1.2076064285714287,1.2093547619047618,1.21326
1.20615,0.9998258923019525,1.20643,1.2074099999999999,1.2090419047619048,1.21325045
1.20676,0.9994945142364678,1.2064157142857144,1.2072214285714284,1.2087585714285713,1.21323165
1.20678,0.9999834269709476,1.2063885714285714,1.2071364285714286,1.2084638095238094,1.21321035
1.20837,0.9986841778594305,1.2066171428571428,1.2071507142857143,1.2082538095238096,1.21319885
1.20833,1.000033103539596,1.2068571428571429,1.2072057142857144,1.2080309523809523,1.2131858
1.20814,1.000157266541957,1.20721,1.2071814285714286,1.2078033333333333,1.2131729
1.20755,1.0004885926048612,1.2074399999999998,1.2071,1.2075509523809524,1.21315705
1.2079,0.9997102409139829,1.20769,1.20706,1.2075033333333334,1.21314425
1.20707,1.0006876154655486,1.2077342857142856,1.207075,1.207392380952381,1.21312505
1.2068699999999999,1.0001657179315089,1.2077471428571427,1.207067857142857,1.20734,1.21310215
1.20866,0.99851902106465,1.2077885714285714,1.2072028571428572,1.2073633333333333,1.21308675
1.20669,1.0016325651161442,1.2075542857142858,1.2072057142857144,1.2073219047619048,1.21305835
1.20352,1.002633940441372,1.2068942857142857,1.2070521428571428,1.2070857142857143,1.2130132500000002
1.20278,1.0006152413575218,1.2062128571428572,1.2068264285714285,1.2068042857142858,1.2129623
1.20386,0.9991028857176084,1.2056357142857141,1.2066628571428573,1.2065852380952382,1.21291695
1.2048,0.9992197875166001,1.2053114285714286,1.2065228571428572,1.2064871428571429,1.2128736500000001
1.20231,1.0020710132993988,1.20466,1.2062035714285713,1.2062652380952381,1.21281965
1.20274,0.9996424829971565,1.2038142857142857,1.2058014285714285,1.2060733333333333,1.21277345
1.2019199999999999,1.0006822417465389,1.203132857142857,1.2053435714285714,1.2058480952380952,1.2127172
